"asnumber","asname","totalIPs"
1,"Level 3 Communications, Inc.",8360
2,"University of Delaware",65792
3,"Massachusetts Institute of Technology",16976640
4,"University of Southern California",67840
5,"Symbolics, Inc.",1536
6,"Bull HN Information Systems Inc.",23040
7,"Defence Research Agency",256
8,"Rice University",329984
9,"Carnegie Mellon University",133632
12,"New York University",97792
13,"Headquarters, USAISC",70912
14,"Columbia University",339968
16,"Lawrence Berkeley National Laboratory",131072
17,"Purdue University",426240
18,"University of Texas at Austin",295424
19,"Leidos, Inc.",74496
20,"University of Rochester",66048
21,"The RAND Corporation",1792
22,"Navy Network Information Center (NNIC)",135936
24,"National Aeronautics and Space Administration",65536
25,"University of California at Berkeley",199680
26,"Cornell University",197376
27,"University of Maryland",138496
29,"Yale University",131328
30,"SRI International",256
31,"California Institute of Technology",132352
32,"Stanford University",327680
33,"Hewlett-Packard Company",134656
34,"University of Delaware",66816
37,"Navy Network Information Center (NNIC)",67328
38,"University of Illinois",212480
41,"National Aeronautics and Space Administration",167936
42,"WoodyNet",67584
43,"Brookhaven National Laboratory",66304
44,"Lawrence Livermore National Laboratory",23040
45,"Lawrence Livermore National Laboratory",174856
46,"Rutgers University",132096
47,"University of Southern California",133376
48,"Navy Network Information Center (NNIC)",131072
49,"National Bureau of Standards",256
50,"Oak Ridge National Laboratory",133376
52,"University of California, Los Angeles",328448
55,"University of Pennsylvania",262656
57,"University of Minnesota",2560
59,"University of Wisconsin Madison",328448
62,"CyrusOne LLC",12288
63,"Massachusetts Institute of Technology",66816
67,"Unisys Corporation",512
68,"Los Alamos National Laboratory",263168
70,"National Library of Medicine",65536
71,"Hewlett-Packard Company",32443648
72,"Schlumberger Limited",1097728
73,"University of Washington",286720
74,"Defence Research Establishment",262144
77,"Johns Hopkins University Applied Physics Laboratory",67584
78,"Syntegra (USA), Inc.",132608
80,"General Electric Company",6144
81,"MCNC",2410240
83,"Headquarters, USAISC",67072
84,"Navy Network Information Center (NNIC)",119808
85,"The Aerospace Corporation",68608
87,"Indiana University",689152
88,"Princeton University",138240
89,"Navy Network Information Center (NNIC)",133376
90,"Sun Microsystems, Inc.",9216
91,"Rensselaer Polytechnic Institute",196608
92,"Clarkson University",65536
97,"NTT America, Inc.",384
98,"The Rockefeller University",65536
100,"FMC Central Engineering Laboratories",1280
101,"University of Washington",5120
102,"National Science Foundation",66048
103,"Northwestern University",150784
104,"University of Colorado at Boulder",73728
106,"General Dynamics Advanced Information Systems, Inc.",2048
109,"Cisco Systems, Inc.",1172224
111,"Boston University",199680
112,"DNS-OARC",256
114,"NTT America, Inc.",256
116,"Telcordia Technologies",119296
120,"The MITRE Corporation",512
122,"UPMC",267008
125,"Honeywell International, Inc.",14848
127,"Jet Propulsion Laboratory",271616
130,"Space Communications Division",256
131,"University of California, Santa Barbara",132096
132,"754th Electronic Systems Group",329216
137,"Consortium GARR",2769408
138,"DoD Network Information Center",92928
140,"DoD Network Information Center",65792
144,"Lucent Technologies/Bell Laboratories",1792
149,"DoD Network Information Center",17152
151,"Hewlett-Packard Company",11520
154,"Headquarters, USAISC",256
156,"Northeastern University",130816
157,"Silicon Graphics International Corp.",76544
158,"Ericsson Network Systems, Inc.",1319168
159,"The Ohio State University",198400
160,"University of Chicago",114944
161,"Texas Instruments, Inc.",3072
166,"Institute for Defense Analyses",65792
167,"Wesleyan University",65536
173,"Electrical Communications Laboratories",8704
174,"Cogent Communications",27043303
186,"The Catholic University of America",65536
187,"DNScast",4608
188,"Science Applications International Corporation",63744
190,"Navy Network Information Center (NNIC)",66816
194,"University Corporation for Atmospheric Research",197120
195,"San Diego Supercomputer Center",151808
196,"Rockwell Scientific Company",131072
205,"Montclair State University",65536
206,"Computer Sciences Corporation",401152
209,"Qwest Communications Company, LLC",16511744
210,"Utah Education Network",1564672
213,"Headquarters, USAISC",32768
217,"University of Minnesota",325632
220,"754th Electronic Systems Group",65536
224,"UNINETT, The Norwegian University & Research Network",1180928
225,"University of Virginia",153856
226,"Los Nettos",267776
228,"DoD Network Information Center",8192
229,"Merit Network Inc.",1024
231,"Merit Network Inc.",1024
234,"Blackrose Society",1280
237,"Merit Network Inc.",13274496
239,"University of Toronto",331520
243,"Harris Government Systems Sector",283872
246,"754th Electronic Systems Group",430080
250,"AS250.net Foundation",1792
251,"Kaia Global Networks Ltd.",23552
252,"Headquarters, USAISC",65792
257,"Navy Network Information Center (NNIC)",1024
260,"Xconnect24 Inc.",3584
264,"SRI International",272896
