"country","totalIPs"
"A1",61796
"A2",893467
"AD",37248
"AE",3152658
"AF",138086
"AG",50561
"AI",9733
"AL",341959
"AM",610090
"AO",925190
"AP",112182
"AQ",4419
"AR",18639361
"AS",9216
"AT",11287055
"AU",48432034
"AW",54290
"AX",36605
"AZ",711446
"BA",801554
"BB",141579
"BD",1015296
"BE",11433336
"BF",62890
"BG",4343846
"BH",464139
"BI",15488
"BJ",59712
"BL",5
"BM",118539
"BN",198917
"BO",1109947
"BQ",16391
"BR",80743966
"BS",139114
"BT",25856
"BW",121368
"BY",1846796
"BZ",237193
"CA",81879074
"CC",5
"CD",123449
"CF",10501
"CG",49433
"CH",21803704
"CI",199296
"CK",8202
"CL",10111892
"CM",244815
"CN",330446692
"CO",17374477
"CR",2536317
"CU",125696
"CV",22528
"CW",319883
"CY",740710
"CZ",8171442
"DE",120633615
"DJ",40729
"DK",13004646
"DM",17989
"DO",1567288
"DZ",3741573
"EC",2610344
"EE",1359818
"EG",12040715
"ER",4096
"ES",29187226
"ET",98304
"EU",20133284
"FI",13666116
"FJ",139066
"FK",1415
"FM",10752
"FO",40197
"FR",79827691
"GA",215105
"GB",125294236
"GD",24070
"GE",1181447
"GF",62976
"GG",28172
"GH",521377
"GI",69472
"GL",20490
"GM",27141
"GN",26533
"GP",120161
"GQ",12305
"GR",6164325
"GS",5
"GT",638434
"GU",220288
"GW",10243
"GY",45568
"HK",11966158
"HN",470392
"HR",2357058
"HT",168704
"HU",5853730
"ID",19014538
"IE",7463347
"IL",7737769
"IM",69419
"IN",36378506
"IO",3072
"IQ",591637
"IR",9932086
"IS",862002
"IT",53340854
"JE",58490
"JM",266509
"JO",670094
"JP",205249810
"KE",3869405
"KG",271110
"KH",231680
"KI",6146
"KM",4357
"KN",26984
"KP",9539
"KR",112231301
"KW",1945001
"KY",187402
"KZ",2761364
"LA",60928
"LB",482148
"LC",24845
"LI",91706
"LK",546816
"LR",18488
"LS",73516
"LT",2486695
"LU",1266899
"LV",1817864
"LY",326408
"MA",5164042
"MC",52746
"MD",1336576
"ME",179968
"MF",7557
"MG",167957
"MH",6666
"MK",680458
"ML",56576
"MM",31808
"MN",209930
"MO",324613
"MP",15492
"MQ",130732
"MR",48184
"MS",2826
"MT",568350
"MU",1781776
"MV",54785
"MW",156745
"MX",28445197
"MY",6429439
"MZ",421125
"NA",428800
"NC",157706
"NE",44656
"NF",1029
"NG",2393834
"NI",418840
"NL",48251996
"NO",15746693
"NP",479493
"NR",12549
"NU",2058
"NZ",7215455
"OM",902925
"PA",2048802
"PE",2936922
"PF",43778
"PG",63518
"PH",5437219
"PK",5298733
"PL",20617420
"PM",8453
"PN",8
"PR",1214295
"PS",574994
"PT",6008349
"PW",10240
"PY",1086351
"QA",818314
"RE",245121
"RO",13349711
"RS",2291393
"RU",46410038
"RW",360704
"SA",6520363
"SB",15626
"SC",2155081
"SD",1188622
"SE",26895691
"SG",6619795
"SH",512
"SI",2629396
"SJ",5
"SK",2752690
"SL",49448
"SM",29184
"SN",226202
"SO",15694
"SR",86282
"SS",4105
"ST",9221
"SV",661128
"SX",772
"SY",857856
"SZ",39690
"TC",17163
"TD",11533
"TF",10
"TG",22528
"TH",8583678
"TJ",62723
"TK",2048
"TL",6148
"TM",8709
"TN",2732032
"TO",12034
"TR",16298181
"TT",516608
"TV",12298
"TW",35457035
"TZ",584862
"UA",11897621
"UG",239768
"UM",4
"US",1581741537
"UY",4545344
"UZ",242954
"VA",17984
"VC",22533
"VE",6836275
"VG",39786
"VI",113355
"VN",15637523
"VU",16906
"WF",3076
"WS",23300
"YE",67584
"YT",18639
"ZA",24486471
"ZM",321608
"ZW",130434
